,X,text,results
52,,translate design requirements and specifications into robust implementations design prototype develop and manage the technical aspects of the software perform assigned tasks in the precise and timely manner document the software products that will be produced,[]
53,,translate design requirements and specifications into robust implementations design prototype develop and manage the technical aspects of the software perform assigned tasks in the precise and timely manner document the software products that will be produced,"[{'skill_id': 'KS441HT671WH1P3LZFBC', 'doc_node_id': [0], 'doc_node_value': 'translate', 'type': 'lowSurf', 'score': 0.6511049270629883, 'len': 1}, {'skill_id': 'KS6801F6R3Z8BTR2PGQP', 'doc_node_id': [9], 'doc_node_value': 'prototype', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [12], 'doc_node_value': 'manage', 'type': 'lowSurf', 'score': 0.6341733336448669, 'len': 1}, {'skill_id': 'KS7G6VV72CXDVGMZC7F5', 'doc_node_id': [30, 31], 'doc_node_value': 'software products', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}]"
54,,incident handling perform trouble shooting via detailed analysis of hardware and software failures with the usage of all available diagnostic tools this includes repair of hardware on component level cleaning and adjustment of mechanical components and configuration and installation of software preventive maintenance perform routine checks according to documented preventative maintenance procedures customer service instruct and train customers on usage and operation of installed hardware and software maintain improvement suggestions in case of receiving a call for a problem receive provide updates for incidents and orders and regularly inform customers about performed actions communicate effectively with internal and external personnel both verbally and in writing process tasks & continuous improvement process work on occurred technical problems report the manufacturer upon necessity and process the case until it will be solved instruct the client about possible problems in case of wrong usage of the machinery proactively log on to partner zone technical assistance informed about the updates and share with client all hot fixes and updates that the supplier announces surf on the web to look for further related information log on to engineering forum websites and investigate the problem company s client faces administration install supplied spare parts on banks terminals responsible for timely and all administrative reports as defined by management including service reports time and attendance records accurately and on time assist the sales people each time while inserting the order with providing part numbers and also his expertise feedback,"[{'skill_id': 'KS6OGFO5124T49JOP6GQ', 'doc_node_value': 'diagnostic tool', 'score': 1, 'doc_node_id': [19, 20]}, {'skill_id': 'KS1263K71W66XVVGKG2F', 'doc_node_value': 'preventive maintenance', 'score': 1, 'doc_node_id': [41, 42]}, {'skill_id': 'KS121Z26S4VJLQ1WXN21', 'doc_node_value': 'customer service', 'score': 1, 'doc_node_id': [52, 53]}, {'skill_id': 'KS122C06Z8NDM5G6NYNT', 'doc_node_value': 'continuous improvement process', 'score': 1, 'doc_node_id': [108, 109, 110]}, {'skill_id': 'KS1281S6WPCV2MHZL6P1', 'doc_node_value': 'problem report', 'score': 1, 'doc_node_id': [115, 116]}, {'skill_id': 'KS4418D6RW4837XPT884', 'doc_node_value': 'technical assistance', 'score': 1, 'doc_node_id': [150, 151]}, {'skill_id': 'KS1242W68Y5QN3S32W3C', 'score': 1, 'doc_node_value': 'case', 'doc_node_id': [71]}, {'skill_id': 'KS1242W68Y5QN3S32W3C', 'score': 1, 'doc_node_value': 'case', 'doc_node_id': [124]}, {'skill_id': 'KS1242W68Y5QN3S32W3C', 'score': 1, 'doc_node_value': 'case', 'doc_node_id': [137]}]"
55,,incident handling perform trouble shooting via detailed analysis of hardware and software failures with the usage of all available diagnostic tools this includes repair of hardware on component level cleaning and adjustment of mechanical components and configuration and installation of software preventive maintenance perform routine checks according to documented preventative maintenance procedures customer service instruct and train customers on usage and operation of installed hardware and software maintain improvement suggestions in case of receiving a call for a problem receive provide updates for incidents and orders and regularly inform customers about performed actions communicate effectively with internal and external personnel both verbally and in writing process tasks & continuous improvement process work on occurred technical problems report the manufacturer upon necessity and process the case until it will be solved instruct the client about possible problems in case of wrong usage of the machinery proactively log on to partner zone technical assistance informed about the updates and share with client all hot fixes and updates that the supplier announces surf on the web to look for further related information log on to engineering forum websites and investigate the problem company s client faces administration install supplied spare parts on banks terminals responsible for timely and all administrative reports as defined by management including service reports time and attendance records accurately and on time assist the sales people each time while inserting the order with providing part numbers and also his expertise feedback,"[{'skill_id': 'KS126966H39MX8JKF9TX', 'doc_node_id': [33], 'doc_node_value': 'mechanical', 'type': 'lowSurf', 'score': 0.5711623430252075, 'len': 1}, {'skill_id': 'KS1255Y65SXCJWZBC26Y', 'doc_node_id': [38], 'doc_node_value': 'installation', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS1263K71W66XVVGKG2F', 'doc_node_id': [49, 50], 'doc_node_value': 'preventative maintenance', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'ESE48A333764A28095DC', 'doc_node_id': [51, 52], 'doc_node_value': 'procedures customer', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS7G4XR784Q66ZDX1WKL', 'doc_node_id': [54], 'doc_node_value': 'instruct', 'type': 'lowSurf', 'score': 0.7816060781478882, 'len': 1}, {'skill_id': 'KS127D361PF0FTXDZ7C4', 'doc_node_id': [61], 'doc_node_value': 'operation', 'type': 'lowSurf', 'score': 0.8060390949249268, 'len': 1}, {'skill_id': 'KS1255Y65SXCJWZBC26Y', 'doc_node_id': [63], 'doc_node_value': 'installed', 'type': 'lowSurf', 'score': 0.7590072154998779, 'len': 1}, {'skill_id': 'KS122556LMQ829GZCCRV', 'doc_node_id': [93], 'doc_node_value': 'communicate', 'type': 'lowSurf', 'score': 0.6034268140792847, 'len': 1}, {'skill_id': 'KS4425C7820LCHZS7VGX', 'doc_node_id': [104], 'doc_node_value': 'writing', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS7G4XR784Q66ZDX1WKL', 'doc_node_id': [130], 'doc_node_value': 'instruct', 'type': 'lowSurf', 'score': 0.7816060781478882, 'len': 1}, {'skill_id': 'KS126256R04NWVG6Y5C0', 'doc_node_id': [143], 'doc_node_value': 'machinery', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS7G2PN6Q42WPLR91C09', 'doc_node_id': [186], 'doc_node_value': 'investigate', 'type': 'lowSurf', 'score': 0.7815529704093933, 'len': 1}, {'skill_id': 'KS1255Y65SXCJWZBC26Y', 'doc_node_id': [194], 'doc_node_value': 'install', 'type': 'lowSurf', 'score': 0.7812301516532898, 'len': 1}, {'skill_id': 'KS440T566V28MRMPQPM7', 'doc_node_id': [196, 197], 'doc_node_value': 'spare parts', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS120WT63K4HC6NX7QXV', 'doc_node_id': [199], 'doc_node_value': 'banks', 'type': 'lowSurf', 'score': 0.7314605712890625, 'len': 1}, {'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [211], 'doc_node_value': 'management', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS126KD6P573F0KF8GYL', 'doc_node_id': [213, 214], 'doc_node_value': 'service reports', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS126KD6P573F0KF8GYL', 'doc_node_id': [213, 214], 'doc_node_value': 'service reports', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS123X777H5WFNXQ6BPM', 'doc_node_id': [225], 'doc_node_value': 'sales', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS120KN74FBCJ41SSCZ4', 'doc_node_id': [236], 'doc_node_value': 'numbers', 'type': 'fullUni', 'score': 1, 'len': 1}]"
56,,work in compliance with the instructions given by the chief lawyer head of legal service on behalf of the bank proceed with the agreement execution notary verification state registration on the basis and within the power of attorney issued by the chairman of the management board general director deliver and receive documents,[]
57,,work in compliance with the instructions given by the chief lawyer head of legal service on behalf of the bank proceed with the agreement execution notary verification state registration on the basis and within the power of attorney issued by the chairman of the management board general director deliver and receive documents,"[{'skill_id': 'KS120WT63K4HC6NX7QXV', 'doc_node_id': [19], 'doc_node_value': 'bank', 'type': 'lowSurf', 'score': 0.7769217491149902, 'len': 1}, {'skill_id': 'KS7G1YH6989K60428HFJ', 'doc_node_id': [28], 'doc_node_value': 'registration', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [44], 'doc_node_value': 'management', 'type': 'lowSurf', 'score': 1.0, 'len': 1}]"
58,,complete the dossier prepare application form submit the dossier for the registration to the regulatory authorities follow the registration procedure communicate with regulatory authorities send question from regulatory authorities to hq submit the answers to the regulatory authorities obtain marketing authorization obtain shipments from custom coordinate the printing of pil in armenia confirm the pil and mock up for production responsible for local pharmacovigilance,"[{'skill_id': 'KSR14VO04US8GT3B1S6R', 'doc_node_value': 'mock up', 'score': 1, 'doc_node_id': [56, 57]}]"
59,,complete the dossier prepare application form submit the dossier for the registration to the regulatory authorities follow the registration procedure communicate with regulatory authorities send question from regulatory authorities to hq submit the answers to the regulatory authorities obtain marketing authorization obtain shipments from custom coordinate the printing of pil in armenia confirm the pil and mock up for production responsible for local pharmacovigilance,"[{'skill_id': 'KS7G1YH6989K60428HFJ', 'doc_node_id': [11], 'doc_node_value': 'registration', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS7G1YH6989K60428HFJ', 'doc_node_id': [18], 'doc_node_value': 'registration', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS122556LMQ829GZCCRV', 'doc_node_id': [20], 'doc_node_value': 'communicate', 'type': 'lowSurf', 'score': 0.6034268140792847, 'len': 1}, {'skill_id': 'KS686Y976L1WJ98QFSD4', 'doc_node_id': [40], 'doc_node_value': 'authorization', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS7G2F36GFX1K55V6GK4', 'doc_node_id': [45], 'doc_node_value': 'coordinate', 'type': 'lowSurf', 'score': 0.7177117466926575, 'len': 1}, {'skill_id': 'KS123626P7F3LBLL9SWG', 'doc_node_id': [63], 'doc_node_value': 'pharmacovigilance', 'type': 'fullUni', 'score': 1, 'len': 1}]"
60,,investigate internal audit observations and assist management to prepare responses in a timely manner timely investigate analyze and report compliance issues which can negatively affect the company operation and image ensure timely update of affiliate internal regulations manuals instruction memos etc with all changes from finca international and the eurasia hub establish a system for the effective communication of all policy changes to the appropriate personnel at all levels of the affiliate including verification of understanding ensure that all changes in policy and procedures are properly communicated to affiliate staff and that appropriate compliance training takes place develop and implement annual compliance function work plan in collaboration with fi internal control manager and finca eurasia internal control manager manage timely control activities for internal control department based on the approved work plan and requests from affiliate management manage timely reporting to affiliate management and regional hub establish a system for timely communication of the status and findings of compliance activities with affiliate management and network regional internal control personnel create internal control functional procedures to ensure sufficient riskmanagement and efficiency set up internal control functions and create necessary policy and procedures required for finca uco operations as a bank report suspicious transaction regarding money laundering cases to the central bank of armenia ontime and ensure that all the necessary required action will be taken,"[{'skill_id': 'KS1226M6HV7VQ42GZYYP', 'doc_node_value': 'compliance training', 'score': 1, 'doc_node_id': [93, 94]}, {'skill_id': 'KS1218H6YTH21VYCT4YN', 'doc_node_value': 'internal control', 'score': 1, 'doc_node_id': [109, 110]}, {'skill_id': 'KS1218H6YTH21VYCT4YN', 'doc_node_value': 'internal control', 'score': 1, 'doc_node_id': [115, 116]}, {'skill_id': 'KS1218H6YTH21VYCT4YN', 'doc_node_value': 'internal control', 'score': 1, 'doc_node_id': [123, 124]}, {'skill_id': 'KS1218H6YTH21VYCT4YN', 'doc_node_value': 'internal control', 'score': 1, 'doc_node_id': [166, 167]}, {'skill_id': 'KS1218H6YTH21VYCT4YN', 'doc_node_value': 'internal control', 'score': 1, 'doc_node_id': [170, 171]}, {'skill_id': 'KS1218H6YTH21VYCT4YN', 'doc_node_value': 'internal control', 'score': 1, 'doc_node_id': [182, 183]}]"
61,,investigate internal audit observations and assist management to prepare responses in a timely manner timely investigate analyze and report compliance issues which can negatively affect the company operation and image ensure timely update of affiliate internal regulations manuals instruction memos etc with all changes from finca international and the eurasia hub establish a system for the effective communication of all policy changes to the appropriate personnel at all levels of the affiliate including verification of understanding ensure that all changes in policy and procedures are properly communicated to affiliate staff and that appropriate compliance training takes place develop and implement annual compliance function work plan in collaboration with fi internal control manager and finca eurasia internal control manager manage timely control activities for internal control department based on the approved work plan and requests from affiliate management manage timely reporting to affiliate management and regional hub establish a system for timely communication of the status and findings of compliance activities with affiliate management and network regional internal control personnel create internal control functional procedures to ensure sufficient riskmanagement and efficiency set up internal control functions and create necessary policy and procedures required for finca uco operations as a bank report suspicious transaction regarding money laundering cases to the central bank of armenia ontime and ensure that all the necessary required action will be taken,"[{'skill_id': 'ES956A225151A706BFA0', 'doc_node_id': [0, 1], 'doc_node_value': 'investigate internal', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS1258B6FBG9B2CQ169N', 'doc_node_id': [1, 2], 'doc_node_value': 'internal audit', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS1258B6FBG9B2CQ169N', 'doc_node_id': [1, 2], 'doc_node_value': 'internal audit', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [6], 'doc_node_value': 'management', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS7G2PN6Q42WPLR91C09', 'doc_node_id': [15], 'doc_node_value': 'investigate', 'type': 'lowSurf', 'score': 0.7815529704093933, 'len': 1}, {'skill_id': 'KS127D361PF0FTXDZ7C4', 'doc_node_id': [27], 'doc_node_value': 'operation', 'type': 'lowSurf', 'score': 0.8060390949249268, 'len': 1}, {'skill_id': 'KS7G39G6G5M749ZW5DP0', 'doc_node_id': [29], 'doc_node_value': 'image', 'type': 'lowSurf', 'score': 0.510378897190094, 'len': 1}, {'skill_id': 'KS7G33M79R91K44MZLBM', 'doc_node_id': [37, 38], 'doc_node_value': 'manuals instruction', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS126CM78T30RTP4PBYM', 'doc_node_id': [39], 'doc_node_value': 'memos', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS122556LMQ829GZCCRV', 'doc_node_id': [57], 'doc_node_value': 'communication', 'type': 'lowSurf', 'score': 0.8526842594146729, 'len': 1}, {'skill_id': 'KS122556LMQ829GZCCRV', 'doc_node_id': [86], 'doc_node_value': 'communicated', 'type': 'lowSurf', 'score': 0.5066239833831787, 'len': 1}, {'skill_id': 'ESEB1D4619E6E83A061D', 'doc_node_id': [104], 'doc_node_value': 'plan', 'type': 'lowSurf', 'score': 0.7436007261276245, 'len': 1}, {'skill_id': 'KS7AASDV6UOE7VFBGF4D', 'doc_node_id': [106], 'doc_node_value': 'collaboration', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [111], 'doc_node_value': 'manager', 'type': 'lowSurf', 'score': 0.6195552349090576, 'len': 1}, {'skill_id': 'KS44175745H9Q0DPBDNT', 'doc_node_id': [118], 'doc_node_value': 'manage', 'type': 'lowSurf', 'score': 1, 'len': 1}, {'skill_id': 'KS44175745H9Q0DPBDNT', 'doc_node_id': [118, 119], 'doc_node_value': 'manage timely', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS44175745H9Q0DPBDNT', 'doc_node_id': [118, 119], 'doc_node_value': 'manage timely', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'ESEB1D4619E6E83A061D', 'doc_node_id': [131], 'doc_node_value': 'plan', 'type': 'lowSurf', 'score': 0.7436007261276245, 'len': 1}, {'skill_id': 'KS44175745H9Q0DPBDNT', 'doc_node_id': [137], 'doc_node_value': 'manage', 'type': 'lowSurf', 'score': 1, 'len': 1}, {'skill_id': 'KS44175745H9Q0DPBDNT', 'doc_node_id': [137, 138], 'doc_node_value': 'manage timely', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS44175745H9Q0DPBDNT', 'doc_node_id': [137, 138], 'doc_node_value': 'manage timely', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [142], 'doc_node_value': 'management', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS122556LMQ829GZCCRV', 'doc_node_id': [151], 'doc_node_value': 'communication', 'type': 'lowSurf', 'score': 0.8526842594146729, 'len': 1}, {'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [162], 'doc_node_value': 'management', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS127D361PF0FTXDZ7C4', 'doc_node_id': [195], 'doc_node_value': 'operations', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS120WT63K4HC6NX7QXV', 'doc_node_id': [198], 'doc_node_value': 'bank', 'type': 'lowSurf', 'score': 0.7769217491149902, 'len': 1}, {'skill_id': 'KS4413J6F38BZNJH75Q9', 'doc_node_id': [199, 200], 'doc_node_value': 'report suspicious', 'type': 'oneToken', 'score': 0.6, 'len': 2}, {'skill_id': 'KS7G05V6LRKY1PMN9GQG', 'doc_node_id': [203, 204], 'doc_node_value': 'money laundering', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS120WT63K4HC6NX7QXV', 'doc_node_id': [209], 'doc_node_value': 'bank', 'type': 'lowSurf', 'score': 0.7769217491149902, 'len': 1}]"
62,,the key elements of these roles are the development and delivery of new or modified functionality based on our given remedy ars platform the candidates are required to work closely with the other functional and technical members of the international service platforms team this comprises a close relationship to the test and qadepartment as well,[]
63,,the key elements of these roles are the development and delivery of new or modified functionality based on our given remedy ars platform the candidates are required to work closely with the other functional and technical members of the international service platforms team this comprises a close relationship to the test and qadepartment as well,"[{'skill_id': 'KS128J05YWMVDP8ZS3KP', 'doc_node_id': [21], 'doc_node_value': 'ars', 'type': 'lowSurf', 'score': 1, 'len': 1}]"
64,,be able to create superior original designs for consumer products packaging and the web be responsible for the development of brand books and design brand guidelines for new and existing brands develop special imageries and visuals for new projects promotions be responsible for shaping and building creative strategy for new brands and existing ones in accordance with the brand concept contribute to developing concepts for seasonal events working on seasonal projects and content pages that will improve user experience,"[{'skill_id': 'KSWQERN2UL44BYZN2VF2', 'doc_node_value': 'creative strategy', 'score': 1, 'doc_node_id': [46, 47]}, {'skill_id': 'KSFAZHLPZ5CH5F9M7ELY', 'doc_node_value': 'content page', 'score': 1, 'doc_node_id': [72, 73]}, {'skill_id': 'KS441PL6JPXW200W0GRQ', 'doc_node_value': 'user experience', 'score': 1, 'doc_node_id': [77, 78]}]"
65,,be able to create superior original designs for consumer products packaging and the web be responsible for the development of brand books and design brand guidelines for new and existing brands develop special imageries and visuals for new projects promotions be responsible for shaping and building creative strategy for new brands and existing ones in accordance with the brand concept contribute to developing concepts for seasonal events working on seasonal projects and content pages that will improve user experience,"[{'skill_id': 'KS7G4ML61B2JX1H1003Z', 'doc_node_id': [20], 'doc_node_value': 'brand', 'type': 'lowSurf', 'score': 0.5628423690795898, 'len': 1}, {'skill_id': 'KSY5BARETSBO5XH7J28G', 'doc_node_id': [23, 24], 'doc_node_value': 'design brand', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS7G4ML61B2JX1H1003Z', 'doc_node_id': [58], 'doc_node_value': 'brand', 'type': 'lowSurf', 'score': 0.5628423690795898, 'len': 1}]"
66,,report input into entry system implement solutions to incipient problems troubleshooting as well as maintain system within the department design vba macros within the department as well as implement system solutions by means of them design nonstandard and dynamic reports in reports systems as well as supply and maintain systems within the department test final reports in reports systems compile and cross check financial institutions reports,"[{'skill_id': 'KS120WT70DM8WX59219Z', 'doc_node_value': 'financial institution', 'score': 1, 'doc_node_id': [63, 64]}]"
67,,report input into entry system implement solutions to incipient problems troubleshooting as well as maintain system within the department design vba macros within the department as well as implement system solutions by means of them design nonstandard and dynamic reports in reports systems as well as supply and maintain systems within the department test final reports in reports systems compile and cross check financial institutions reports,"[{'skill_id': 'KSEJB8BGI0FO1LRQDDQP', 'doc_node_id': [4], 'doc_node_value': 'system', 'type': 'lowSurf', 'score': 1, 'len': 1}, {'skill_id': 'KSEJB8BGI0FO1LRQDDQP', 'doc_node_id': [4, 5], 'doc_node_value': 'system implement', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KSEJB8BGI0FO1LRQDDQP', 'doc_node_id': [4, 5], 'doc_node_value': 'system implement', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS441K2756CXYXBG990G', 'doc_node_id': [10], 'doc_node_value': 'troubleshooting', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'ES406A17914FB9F538AD', 'doc_node_id': [21], 'doc_node_value': 'macros', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KSEJB8BGI0FO1LRQDDQP', 'doc_node_id': [28, 29], 'doc_node_value': 'implement system', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS1222B65RBD5S76SC7H', 'doc_node_id': [59], 'doc_node_value': 'compile', 'type': 'lowSurf', 'score': 0.5842425227165222, 'len': 1}]"
68,,participate in software product development provide maintenance and support of existing software products,[]
69,,participate in software product development provide maintenance and support of existing software products,"[{'skill_id': 'ES2D2CA3BC2F2587FAAC', 'doc_node_id': [3, 4], 'doc_node_value': 'product development', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS7G6VV72CXDVGMZC7F5', 'doc_node_id': [11, 12], 'doc_node_value': 'software products', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}]"
70,,provide general administrative and clerical support edit scientific texts in english language at the professional level provide translations,"[{'skill_id': 'KS123K75YYK8VGH90NCS', 'doc_node_value': 'english language', 'score': 1, 'doc_node_id': [10, 11]}]"
71,,provide general administrative and clerical support edit scientific texts in english language at the professional level provide translations,"[{'skill_id': 'KS1248G6F1VTMZY56S84', 'doc_node_id': [1, 2], 'doc_node_value': 'general administrative', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS120PP6GL94HJDMN0TQ', 'doc_node_id': [6], 'doc_node_value': 'edit', 'type': 'lowSurf', 'score': 0.6174197793006897, 'len': 1}, {'skill_id': 'ES76F4C57A88877D6D64', 'doc_node_id': [14], 'doc_node_value': 'professional', 'type': 'lowSurf', 'score': 0.5233343839645386, 'len': 1}, {'skill_id': 'KS441HT671WH1P3LZFBC', 'doc_node_id': [17], 'doc_node_value': 'translations', 'type': 'fullUni', 'score': 1, 'len': 1}]"
72,,verify the efficacy of visit plans and frequency of visits of each medical representative ensure that the level of visits per day is appropriate in his her area assess and control the medical representatives activities through double visits verify that all the activities of medical representatives are in line with the overall requirements of the company and according to the companys strategy tactics and promotion plan organize and carry out promotional meetings seminars and other events for doctors and other customers in a proper way assure a correct use of promotional material and gadgets and useful investments of each medical representative organize cycle meetings in order to transfer guidelines for the following cycle communicating strategies sharing results experiences and planning special activities motivate medical representatives by using the bonus system and stimulating their curiosity for the competitors activities and market and customers analysis evaluate the performance of medical representatives and provide recommendations for corrective actions analyse the information given by medical representatives to enable the superiors to be fully aware of sales competitors activities and pharmaceutical market situation establish and keep strong links with pharmacies distributors and opinion leaders in the area of competence follow the company procedures and requirements regarding the use of cars by medical representatives,"[{'skill_id': 'KS122LM6LXV0GT6GGH9V', 'doc_node_value': 'customer analysis', 'score': 1, 'doc_node_id': [141, 142]}]"
73,,verify the efficacy of visit plans and frequency of visits of each medical representative ensure that the level of visits per day is appropriate in his her area assess and control the medical representatives activities through double visits verify that all the activities of medical representatives are in line with the overall requirements of the company and according to the companys strategy tactics and promotion plan organize and carry out promotional meetings seminars and other events for doctors and other customers in a proper way assure a correct use of promotional material and gadgets and useful investments of each medical representative organize cycle meetings in order to transfer guidelines for the following cycle communicating strategies sharing results experiences and planning special activities motivate medical representatives by using the bonus system and stimulating their curiosity for the competitors activities and market and customers analysis evaluate the performance of medical representatives and provide recommendations for corrective actions analyse the information given by medical representatives to enable the superiors to be fully aware of sales competitors activities and pharmaceutical market situation establish and keep strong links with pharmacies distributors and opinion leaders in the area of competence follow the company procedures and requirements regarding the use of cars by medical representatives,"[{'skill_id': 'ESEB1D4619E6E83A061D', 'doc_node_id': [5], 'doc_node_value': 'plans', 'type': 'lowSurf', 'score': 0.7372629046440125, 'len': 1}, {'skill_id': 'KS680BM6CXF40G8FQRB2', 'doc_node_id': [12, 13], 'doc_node_value': 'medical representative', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS680BM6CXF40G8FQRB2', 'doc_node_id': [32, 33], 'doc_node_value': 'medical representatives', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS680BM6CXF40G8FQRB2', 'doc_node_id': [44, 45], 'doc_node_value': 'medical representatives', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'ESEB1D4619E6E83A061D', 'doc_node_id': [65], 'doc_node_value': 'plan', 'type': 'lowSurf', 'score': 0.7436007261276245, 'len': 1}, {'skill_id': 'KS121CX75Q8F638ZCJVZ', 'doc_node_id': [96], 'doc_node_value': 'investments', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS680BM6CXF40G8FQRB2', 'doc_node_id': [99, 100], 'doc_node_value': 'medical representative', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS1225C66PNH5DZ70FT8', 'doc_node_id': [113, 114], 'doc_node_value': 'communicating strategies', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'ESEB1D4619E6E83A061D', 'doc_node_id': [119], 'doc_node_value': 'planning', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS680BM6CXF40G8FQRB2', 'doc_node_id': [123, 124], 'doc_node_value': 'medical representatives', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'ESA420F05EBBD34B3C2A', 'doc_node_id': [133], 'doc_node_value': 'curiosity', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS680BM6CXF40G8FQRB2', 'doc_node_id': [147, 148], 'doc_node_value': 'medical representatives', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS122FB6FT3DS8Z8HB1J', 'doc_node_id': [153, 154], 'doc_node_value': 'corrective actions', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS680BM6CXF40G8FQRB2', 'doc_node_id': [160, 161], 'doc_node_value': 'medical representatives', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS123X777H5WFNXQ6BPM', 'doc_node_id': [171], 'doc_node_value': 'sales', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS126BN6M17RQNR0FXLN', 'doc_node_id': [175, 176], 'doc_node_value': 'pharmaceutical market', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS680BM6CXF40G8FQRB2', 'doc_node_id': [206, 207], 'doc_node_value': 'medical representatives', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}]"
74,,prepare and submit for approval a methodology to conduct the analysis including preparation of a questionnaire for collecting information from the main stakeholders conduct desk review information gathering preparation of questionnaires data collection procedures among other aspects collect local studies reports on irregular migration and extract relevant data conduct meetings focus groups and interviews with the relevant government institutions and foreign consulates conduct interviews with irregular migrants residing in armenia prepare progressive reports on implementation of the activities to iom armenia produce a baseline survey report meet the deadlines set for the assignments ensure tangible and measurable output of the work assignment prepare report containing requested data provide realistic delivery dates and details as to how the work must be delivered,"[{'skill_id': 'ESE2D5EA264FB06F5C4F', 'doc_node_value': 'information gathering', 'score': 1, 'doc_node_id': [26, 27]}, {'skill_id': 'KS124185YLQVDB991J8N', 'doc_node_value': 'focus group', 'score': 1, 'doc_node_id': [50, 51]}]"
